project,street,type,district,segment,tenure,commence,sale,area,price,level,date
SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 years,2011.0,Resale,710.42,1325643.72,26 to 30,Dec-24
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2009.0,Resale,893.41,1399973.47,06 to 10,Dec-24
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,Apartment,19,OCR,99 years,2018.0,Sub Sale,1313.21,2760367.42,06 to 10,Dec-24
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,Apartment,19,OCR,99 years,2018.0,Sub Sale,764.24,1649229.92,11 to 15,Dec-24
ASCENTIA SKY,ALEXANDRA VIEW,Condominium,3,RCR,99 years,2008.0,Resale,1474.67,2850537.1100000003,36 to 40,Dec-24
EASTPOINT GREEN,SIMEI STREET 3,Condominium,18,OCR,99 years,1996.0,Resale,1194.8,1290384.0,01 to 05,Dec-24
BOTANIC GARDENS VIEW,TAMAN SERASI,Apartment,10,CCR,freehold,,Resale,1754.53,4170517.81,06 to 10,Dec-24
VIVACE,TONG WATT ROAD,Apartment,9,CCR,freehold,1841.0,Resale,398.27,857873.58,01 to 05,Dec-24
BUTTERWORTH 8,BUTTERWORTH LANE,Condominium,15,RCR,freehold,,Resale,1313.21,2600155.8000000003,16 to 20,Dec-24
THE ALPS RESIDENCES,TAMPINES STREET 86,Condominium,18,OCR,99 years,2015.0,Resale,936.47,1410323.82,01 to 05,Dec-24
HILLINGTON GREEN,HILLVIEW AVENUE,Condominium,23,OCR,freehold,1883.0,Resale,1356.26,2199853.72,01 to 05,Dec-24
NICON GARDENS,CHOA CHU KANG ROAD,Condominium,23,OCR,99 years,1981.0,Resale,1991.34,1849954.86,other,Dec-24
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 years,2014.0,Resale,484.38,749820.24,11 to 15,Dec-24
DAIRY FARM RESIDENCES,DAIRY FARM LANE,Apartment,23,OCR,99 years,2018.0,Sub Sale,936.47,1789594.1700000002,11 to 15,Dec-24
RIVERGATE,ROBERTSON QUAY,Apartment,9,CCR,freehold,,Resale,2077.45,5800240.399999999,06 to 10,Dec-24
PARC BOTANNIA,FERNVALE STREET,Condominium,28,OCR,99 years,2016.0,Resale,430.56,747882.72,21 to 25,Dec-24
SIMSVILLE,GEYLANG EAST AVENUE 2,Condominium,14,RCR,99 years,1994.0,Resale,1237.86,1799848.44,06 to 10,Dec-24
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,592.02,954928.26,21 to 25,Dec-24
DAIRY FARM RESIDENCES,DAIRY FARM LANE,Apartment,23,OCR,99 years,2018.0,Sub Sale,914.94,1699958.52,01 to 05,Dec-24
BLUWATERS 2,JALAN LOYANG BESAR,Condominium,17,OCR,freehold,1938.0,Resale,1108.69,1228428.52,01 to 05,Dec-24
THE LINQ @ BEAUTY WORLD,UPPER BUKIT TIMAH ROAD,Apartment,21,RCR,freehold,,Sub Sale,548.96,1589788.16,06 to 10,Dec-24
JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 years,2012.0,Resale,1216.33,1949776.99,06 to 10,Dec-24
TRE RESIDENCES,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 years,2014.0,Resale,764.24,1383274.4,06 to 10,Dec-24
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,Condominium,23,OCR,99 years,2000.0,Resale,904.18,1000927.26,01 to 05,Dec-24
MEADOWS @ PEIRCE,UPPER THOMSON ROAD,Condominium,26,OCR,freehold,,Resale,1517.72,2669669.48,01 to 05,Dec-24
AALTO,MEYER ROAD,Condominium,15,RCR,freehold,,Resale,1550.02,4070352.52,21 to 25,Dec-24
SEASCAPE,COVE WAY,Condominium,4,CCR,99 years,2007.0,Resale,2174.33,4529129.39,01 to 05,Dec-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,freehold,,Resale,721.19,1099814.75,01 to 05,Dec-24
NAVA GROVE,PINE GROVE,Condominium,21,RCR,99 years,2024.0,New Sale,1108.69,2838246.4000000004,11 to 15,Dec-24
GRAND DUNMAN,DUNMAN ROAD,Apartment,15,RCR,99 years,2022.0,New Sale,1162.51,2666797.94,16 to 20,Dec-24
MEYER BLUE,MEYER ROAD,Apartment,15,RCR,freehold,,New Sale,1528.49,4834613.87,11 to 15,Dec-24
MEYER BLUE,MEYER ROAD,Apartment,15,RCR,freehold,,New Sale,1528.49,5331373.12,21 to 25,Dec-24
CHUAN PARK,LORONG CHUAN,Condominium,19,OCR,99 years,2024.0,New Sale,742.72,2020941.12,11 to 15,Dec-24
CHUAN PARK,LORONG CHUAN,Condominium,19,OCR,99 years,2024.0,New Sale,742.72,2006829.44,16 to 20,Dec-24
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1345.5,2872642.5,06 to 10,Dec-24
NAVA GROVE,PINE GROVE,Condominium,21,RCR,99 years,2024.0,New Sale,699.66,1892580.3,16 to 20,Dec-24
KOVAN JEWEL,KOVAN ROAD,Apartment,19,OCR,freehold,,New Sale,1140.98,2512437.96,01 to 05,Dec-24
GRAND DUNMAN,DUNMAN ROAD,Apartment,15,RCR,99 years,2022.0,New Sale,1291.68,3393243.3600000003,11 to 15,Dec-24
GRAND DUNMAN,DUNMAN ROAD,Apartment,15,RCR,99 years,2022.0,New Sale,1130.22,2666188.98,16 to 20,Dec-24
MEYER BLUE,MEYER ROAD,Apartment,15,RCR,freehold,,New Sale,667.37,2044821.68,01 to 05,Dec-24
PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 years,2015.0,Resale,710.42,1167930.48,26 to 30,Dec-24
