project,street,type,district,segment,tenure,commence,sale,area,price,level,date
THE METZ,DEVONSHIRE ROAD,Condominium,9,CCR,freehold,,Resale,581.26,1519994.9,01 to 05,Dec-24
3 CUSCADEN,CUSCADEN WALK,Apartment,10,CCR,freehold,,Resale,473.62,1470116.48,06 to 10,Dec-24
THE JADE,BUKIT BATOK CENTRAL LINK,Condominium,23,OCR,99 years,2001.0,Resale,1011.82,1367980.64,21 to 25,Dec-24
PENROSE,SIMS DRIVE,Apartment,14,RCR,99 years,2019.0,Sub Sale,645.84,1280054.88,01 to 05,Dec-24
# 1 LOFT,LORONG 24 GEYLANG,Apartment,14,RCR,freehold,,Resale,559.73,734925.49,06 to 10,Dec-24
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,Resale,4230.25,10148369.75,21 to 25,Dec-24
MENDON SPRING,PASIR PANJANG ROAD,Apartment,5,RCR,freehold,,Resale,1054.87,1350233.6,01 to 05,Dec-24
SUNSET LODGE,SUNSET CLOSE,Condominium,21,OCR,freehold,,Resale,1087.16,1479624.76,other,Dec-24
THE ARCADY AT BOON KENG,SAINT BARNABAS LANE,Apartment,12,RCR,freehold,,New Sale,1410.08,3732481.76,16 to 20,Dec-24
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,753.48,1812119.4,16 to 20,Dec-24
ECO,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2012.0,Resale,1270.15,1949680.25,11 to 15,Dec-24
BOTANNIA,WEST COAST PARK,Condominium,5,OCR,freehold,1928.0,Resale,1270.15,2230383.4000000004,01 to 05,Dec-24
VERSILIA ON HAIG,IPOH LANE,Condominium,15,RCR,freehold,,Resale,1130.22,2180194.38,11 to 15,Dec-24
SENNETT RESIDENCE,PHENG GECK AVENUE,Condominium,13,RCR,99 years,2011.0,Resale,1302.44,2670002.0,16 to 20,Dec-24
RV SUITES,RIVER VALLEY ROAD,Apartment,10,CCR,freehold,,Resale,495.14,955125.06,01 to 05,Dec-24
SPRINGDALE CONDOMINIUM,HINDHEDE WALK,Condominium,21,OCR,freehold,1877.0,Resale,1119.46,1854945.22,01 to 05,Dec-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,Condominium,2,RCR,freehold,,Resale,592.02,1310140.26,26 to 30,Dec-24
VALLEY PARK,RIVER VALLEY ROAD,Condominium,10,CCR,freehold,1877.0,Resale,764.24,1589619.2,06 to 10,Dec-24
CENTRAL VIEW,HOUGANG STREET 11,Condominium,19,OCR,99 years,1998.0,Resale,1205.57,1510579.21,01 to 05,Dec-24
QUESTA @ DUNMAN,DUNMAN ROAD,Apartment,15,RCR,freehold,,Resale,1571.54,2410742.36,11 to 15,Dec-24
DAIRY FARM RESIDENCES,DAIRY FARM LANE,Apartment,23,OCR,99 years,2018.0,Sub Sale,710.42,1250339.2,01 to 05,Dec-24
KOPAR AT NEWTON,MAKEWAY AVENUE,Apartment,9,CCR,99 years,2019.0,Resale,958.0,2539658.0,06 to 10,Dec-24
SORA,YUAN CHING ROAD,Apartment,22,OCR,99 years,2023.0,New Sale,731.95,1567836.9,01 to 05,Dec-24
THE PEAK@BALMEG,BALMEG HILL,Condominium,5,RCR,freehold,,Resale,1754.53,3300270.93,01 to 05,Dec-24
ONE SHENTON,SHENTON WAY,Apartment,1,CCR,99 years,2005.0,Resale,850.36,1449863.8,26 to 30,Dec-24
WHISTLER GRAND,WEST COAST VALE,Apartment,5,OCR,99 years,2018.0,Resale,764.24,1394738.0,16 to 20,Dec-24
THE PARC CONDOMINIUM,WEST COAST WALK,Condominium,5,OCR,freehold,,Resale,1517.72,2900362.92,01 to 05,Dec-24
ESPA,CASHEW ROAD,Condominium,23,OCR,freehold,1882.0,Resale,1065.64,1799865.9600000002,01 to 05,Dec-24
EUPHONY GARDENS,JALAN MATA AYER,Condominium,27,OCR,99 years,1998.0,Resale,1054.87,1029553.12,01 to 05,Dec-24
THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 years,2009.0,Resale,1044.11,1764545.9,11 to 15,Dec-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Resale,1323.97,2305031.77,01 to 05,Dec-24
MARINA ONE RESIDENCES,MARINA WAY,Apartment,1,CCR,99 years,2011.0,Resale,753.48,1519769.16,06 to 10,Dec-24
THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 years,2013.0,Resale,1248.62,1760554.2,11 to 15,Dec-24
GUILIN VIEW,BUKIT BATOK STREET 52,Condominium,23,OCR,99 years,1996.0,Resale,1259.39,1550309.09,21 to 25,Dec-24
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,Condominium,23,OCR,99 years,2000.0,Resale,1130.22,1349482.68,21 to 25,Dec-24
38 I SUITES,IPOH LANE,Apartment,15,RCR,freehold,,Resale,667.37,1095154.17,06 to 10,Dec-24
THE WARREN,CHOA CHU KANG LOOP,Condominium,23,OCR,99 years,2001.0,Resale,1237.86,1400019.66,01 to 05,Dec-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Resale,914.94,1570037.04,01 to 05,Dec-24
TRE RESIDENCES,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 years,2014.0,Resale,947.23,1669966.49,06 to 10,Dec-24
WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 years,2010.0,Resale,1119.46,1765388.4200000002,11 to 15,Dec-24
HILLION RESIDENCES,JELEBU ROAD,Apartment,23,OCR,99 years,2013.0,Resale,462.85,809987.5,06 to 10,Dec-24
PAVILION 11,AKYAB ROAD,Condominium,11,CCR,freehold,,Resale,1485.43,3239722.83,16 to 20,Dec-24
DOVER PARKVIEW,DOVER RISE,Condominium,5,RCR,99 years,1993.0,Resale,968.76,1328169.96,11 to 15,Dec-24
FORETT@BUKIT TIMAH,TOH TUCK ROAD,Apartment,21,RCR,freehold,,Sub Sale,979.52,2385131.2,01 to 05,Dec-24
KOVAN RESIDENCES,KOVAN ROAD,Condominium,19,OCR,99 years,2007.0,Resale,1797.59,2937262.06,01 to 05,Dec-24
THE QUAYSIDE,ROBERTSON QUAY,Apartment,9,CCR,99 years,1994.0,Resale,1388.56,2214753.1999999997,01 to 05,Dec-24
WATERSCAPE AT CAVENAGH,CAVENAGH ROAD,Apartment,9,CCR,freehold,,Resale,1560.78,3288563.46,01 to 05,Dec-24
A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 years,2011.0,Resale,1205.57,1799916.01,01 to 05,Dec-24
PARC ESTA,SIMS AVENUE,Apartment,14,RCR,99 years,2018.0,Resale,452.09,1044779.99,11 to 15,Dec-24
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,Apartment,19,OCR,99 years,2018.0,Sub Sale,635.08,1070109.8,11 to 15,Dec-24
BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,freehold,,Resale,1313.21,3599508.61,11 to 15,Dec-24
DOVER PARKVIEW,DOVER RISE,Condominium,5,RCR,99 years,1993.0,Resale,936.47,1365373.26,06 to 10,Dec-24
PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 years,1995.0,Resale,1054.87,1229978.42,06 to 10,Dec-24
GLENDALE PARK,HILLVIEW AVENUE,Condominium,23,OCR,freehold,,Resale,1033.34,1849678.6,01 to 05,Dec-24
THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 years,1993.0,Resale,947.23,1204876.56,11 to 15,Dec-24
EASTERN LAGOON,UPPER EAST COAST ROAD,Condominium,15,OCR,freehold,,Resale,893.41,1650128.27,11 to 15,Dec-24
PALM GREEN,PASIR PANJANG ROAD,Apartment,5,RCR,freehold,,Resale,1291.68,1779935.04,01 to 05,Dec-24
PRISTINE HEIGHTS,MERGUI ROAD,Apartment,8,RCR,freehold,,Resale,1076.4,1754532.0000000002,06 to 10,Dec-24
PARC EMILY,MOUNT EMILY ROAD,Condominium,9,CCR,freehold,,Resale,688.9,1249664.6,01 to 05,Dec-24
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2016.0,Resale,624.31,1199923.8199999998,11 to 15,Dec-24
PENROSE,SIMS DRIVE,Apartment,14,RCR,99 years,2019.0,Sub Sale,645.84,1280054.88,06 to 10,Dec-24
ROBIN RESIDENCES,ROBIN DRIVE,Condominium,10,CCR,freehold,,Resale,538.2,1333121.4,01 to 05,Dec-24
VIEW AT KISMIS,LORONG KISMIS,Apartment,21,RCR,99 years,2019.0,Sub Sale,592.02,1330268.94,01 to 05,Dec-24
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,Condominium,4,CCR,99 years,2005.0,Resale,2012.87,3379608.73,01 to 05,Dec-24
MELVILLE PARK,SIMEI STREET 1,Condominium,18,OCR,99 years,1992.0,Resale,1377.79,1249655.53,01 to 05,Dec-24
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,Apartment,19,OCR,99 years,2017.0,Resale,613.55,1090278.35,01 to 05,Dec-24
THE GLADES,BEDOK RISE,Condominium,16,OCR,99 years,2013.0,Resale,452.09,849929.2,01 to 05,Dec-24
ROCHELLE AT NEWTON,KENG LEE ROAD,Condominium,11,CCR,99 years,2008.0,Resale,1862.17,3515776.96,21 to 25,Dec-24
PARKVIEW APARTMENTS,BUKIT BATOK STREET 25,Apartment,23,OCR,99 years,1994.0,Resale,1130.22,1150563.96,06 to 10,Dec-24
HIGH OAK CONDOMINIUM,TOH TUCK ROAD,Condominium,21,RCR,99 years,1996.0,Resale,1108.69,1579883.25,01 to 05,Dec-24
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,Apartment,10,CCR,99 years,2018.0,Resale,484.38,1069995.42,01 to 05,Dec-24
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,656.6,1269864.4,01 to 05,Dec-24
BLUE HORIZON,WEST COAST CRESCENT,Condominium,5,OCR,99 years,2000.0,Resale,1151.75,1638940.25,11 to 15,Dec-24
THE SEAFRONT ON MEYER,MEYER ROAD,Condominium,15,RCR,freehold,,Resale,1603.84,3829969.92,16 to 20,Dec-24
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,Apartment,13,RCR,99 years,2017.0,Sub Sale,850.36,1949875.48,11 to 15,Dec-24
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,Resale,764.24,1685149.2,16 to 20,Dec-24
BRISTOL LODGE,BRISTOL ROAD,Apartment,8,RCR,freehold,,Resale,968.76,1249700.4,01 to 05,Dec-24
NOVENA COURT,JALAN NOVENA BARAT,Apartment,11,CCR,freehold,,Resale,861.12,1370041.92,01 to 05,Dec-24
HILL HOUSE,INSTITUTION HILL,Apartment,9,CCR,freehold,1841.0,New Sale,430.56,1389847.68,01 to 05,Dec-24
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1313.21,2799763.72,16 to 20,Dec-24
CHUAN PARK,LORONG CHUAN,Condominium,19,OCR,99 years,2024.0,New Sale,1205.57,3257450.1399999997,16 to 20,Dec-24
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,947.23,2222201.58,21 to 25,Dec-24
LENTORIA,LENTOR HILLS ROAD,Condominium,26,OCR,99 years,2022.0,New Sale,731.95,1752288.3,11 to 15,Dec-24
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,1270.15,3538637.9000000004,01 to 05,Dec-24
THE HILL @ONE-NORTH,SLIM BARRACKS RISE,Apartment,5,RCR,99 years,2022.0,New Sale,1022.58,2599398.3600000003,06 to 10,Dec-24
TERRA HILL,YEW SIANG ROAD,Apartment,5,RCR,freehold,,New Sale,807.3,2119969.8,01 to 05,Dec-24
19 NASSIM,NASSIM HILL,Apartment,10,CCR,99 years,2019.0,New Sale,925.7,2919657.8000000003,01 to 05,Dec-24
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1065.64,2322029.56,11 to 15,Dec-24
MORI,GUILLEMARD ROAD,Apartment,14,RCR,freehold,,New Sale,1173.28,2110730.7199999997,01 to 05,Dec-24
CHUAN PARK,LORONG CHUAN,Condominium,19,OCR,99 years,2024.0,New Sale,1205.57,3167032.3899999997,01 to 05,Dec-24
CHUAN PARK,LORONG CHUAN,Condominium,19,OCR,99 years,2024.0,New Sale,699.66,1903774.86,11 to 15,Dec-24
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,947.23,2199468.06,21 to 25,Dec-24
LENTORIA,LENTOR HILLS ROAD,Condominium,26,OCR,99 years,2022.0,New Sale,699.66,1700873.46,16 to 20,Dec-24
HILLHAVEN,HILLVIEW RISE,Condominium,23,OCR,99 years,2023.0,New Sale,1259.39,2664869.24,16 to 20,Dec-24
SORA,YUAN CHING ROAD,Apartment,22,OCR,99 years,2023.0,New Sale,936.47,2146389.24,06 to 10,Dec-24
ATTITUDE AT KIM YAM,KIM YAM ROAD,Apartment,9,CCR,freehold,1841.0,Resale,355.21,745941.0,01 to 05,Dec-24
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,Condominium,23,OCR,99 years,2012.0,Resale,850.36,1234722.72,06 to 10,Dec-24
THE MAKENA,MEYER ROAD,Condominium,15,RCR,freehold,,Resale,1151.75,2464745.0,21 to 25,Dec-24
THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 years,2007.0,Resale,1108.69,1667469.76,16 to 20,Dec-24
THE CITRINE,JALAN DATOH,Apartment,12,RCR,freehold,,Resale,958.0,1513640.0,06 to 10,Dec-24
SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 years,2014.0,Resale,1033.34,2120413.6799999997,16 to 20,Dec-24
THE COLLECTIVE AT ONE SOPHIA,SOPHIA ROAD,Apartment,9,CCR,99 years,2023.0,New Sale,430.56,1165095.36,06 to 10,Dec-24
MAYSPRINGS,PETIR ROAD,Apartment,23,OCR,99 years,1994.0,Resale,1291.68,1388556.0,01 to 05,Dec-24
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,667.37,1099825.76,21 to 25,Dec-24
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,710.42,1751895.72,16 to 20,Dec-24
MORI,GUILLEMARD ROAD,Apartment,14,RCR,freehold,,New Sale,1173.28,2124810.08,01 to 05,Dec-24
THE ORCHARD RESIDENCES,ORCHARD BOULEVARD,Apartment,9,CCR,99 years,2006.0,Resale,1808.35,5499192.35,11 to 15,Dec-24
CHUAN PARK,LORONG CHUAN,Condominium,19,OCR,99 years,2024.0,New Sale,731.95,1982120.6,11 to 15,Dec-24
ROBIN SUITES,ROBIN ROAD,Apartment,10,CCR,freehold,,Resale,462.85,1079829.05,16 to 20,Dec-24
THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 years,2013.0,Resale,914.94,1290065.4,11 to 15,Dec-24
BLUE HORIZON,WEST COAST CRESCENT,Condominium,5,OCR,99 years,2000.0,Resale,1151.75,1640092.0,16 to 20,Dec-24
GUILIN VIEW,BUKIT BATOK STREET 52,Condominium,23,OCR,99 years,1996.0,Resale,1571.54,1879561.84,01 to 05,Dec-24
CHELSEA LODGE,TANJONG KATONG ROAD,Apartment,15,RCR,freehold,,Resale,1227.1,1819789.3,01 to 05,Dec-24
VACANZA @ EAST,LENGKONG TUJOH,Condominium,14,OCR,freehold,,Resale,559.73,855827.17,06 to 10,Dec-24
CRANE COURT,CRANE ROAD,Apartment,15,RCR,freehold,,Resale,968.76,1420202.16,01 to 05,Dec-24
VACANZA @ EAST,LENGKONG TUJOH,Condominium,14,OCR,freehold,,Resale,559.73,860864.74,01 to 05,Dec-24
NAVA GROVE,PINE GROVE,Condominium,21,RCR,99 years,2024.0,New Sale,785.77,2052431.24,11 to 15,Dec-24
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,Condominium,5,RCR,freehold,,Resale,1560.78,2030574.78,01 to 05,Dec-24
SEASTRAND,PASIR RIS LINK,Condominium,18,OCR,99 years,2011.0,Resale,592.02,747721.26,01 to 05,Dec-24
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,645.84,1945270.08,11 to 15,Dec-24
FABER CREST,FABER HEIGHTS,Condominium,5,OCR,99 years,1996.0,Resale,1259.39,1569199.9400000002,01 to 05,Dec-24
RIVER ISLES,EDGEDALE PLAINS,Condominium,19,OCR,99 years,2012.0,Resale,1065.64,1528127.7600000002,06 to 10,Dec-24
GRAND DUNMAN,DUNMAN ROAD,Apartment,15,RCR,99 years,2022.0,New Sale,548.96,1471761.76,06 to 10,Dec-24
LENTOR MANSION,LENTOR GARDENS,Apartment,26,OCR,99 years,2023.0,New Sale,1485.43,3472935.3400000003,16 to 20,Dec-24
THE WATERSIDE,TANJONG RHU ROAD,Condominium,15,RCR,freehold,,Resale,2400.37,4867950.359999999,01 to 05,Dec-24
TRE RESIDENCES,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 years,2014.0,Resale,861.12,1560349.44,11 to 15,Dec-24
THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 years,1997.0,Resale,882.65,1549933.4,16 to 20,Dec-24
JEWEL OF BALMORAL,BALMORAL PARK,Apartment,10,CCR,freehold,,Resale,1345.5,3000465.0,01 to 05,Dec-24
THE CLEARWATER,BEDOK RESERVOIR VIEW,Condominium,16,OCR,99 years,1997.0,Resale,1377.79,1820060.59,01 to 05,Dec-24
THOMSON 800,THOMSON ROAD,Condominium,11,CCR,freehold,,Resale,1399.32,2658708.0,11 to 15,Dec-24
CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 years,2004.0,Resale,871.88,1850129.36,16 to 20,Dec-24
URBAN LOFTS,RANGOON ROAD,Apartment,8,RCR,freehold,,Resale,419.8,680076.0,01 to 05,Dec-24
PARC ESTA,SIMS AVENUE,Apartment,14,RCR,99 years,2018.0,Resale,635.08,1399716.32,11 to 15,Dec-24
THE MEYERISE,MEYER ROAD,Condominium,15,RCR,freehold,,Resale,1270.15,3519585.6500000004,21 to 25,Dec-24
CLAYDENCE,STILL ROAD,Apartment,15,RCR,freehold,,New Sale,914.94,2104362.0,01 to 05,Dec-24
BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,others,1978.0,Resale,3369.13,2799747.0300000003,21 to 25,Dec-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Resale,462.85,803044.75,11 to 15,Dec-24
SEASIDE RESIDENCES,SIGLAP LINK,Apartment,15,OCR,99 years,2016.0,Resale,505.91,1099848.34,21 to 25,Dec-24
VENTUNO BALMORAL,BALMORAL ROAD,Apartment,10,CCR,freehold,,Resale,2432.66,4050378.9,11 to 15,Dec-24
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,731.95,1480002.9,11 to 15,Dec-24
THE ANTARES,MATTAR ROAD,Apartment,14,RCR,99 years,2018.0,Resale,731.95,1398024.5,01 to 05,Dec-24
LUCKY PLAZA,ORCHARD ROAD,Apartment,9,CCR,freehold,,Resale,1550.02,3100040.0,21 to 25,Dec-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Resale,581.26,930016.0,01 to 05,Dec-24
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2016.0,Resale,1453.14,2824904.16,01 to 05,Dec-24
NEPTUNE COURT,MARINE VISTA,Apartment,15,OCR,99 years,1975.0,Resale,1636.13,1549415.11,06 to 10,Dec-24
NORTHWOOD,JALAN MATA AYER,Condominium,27,OCR,freehold,,Resale,1334.74,1628382.8,01 to 05,Dec-24
CASHEW HEIGHTS CONDOMINIUM,CASHEW ROAD,Condominium,23,OCR,freehold,1882.0,Resale,1657.66,2468255.74,06 to 10,Dec-24
SOPHIA HILLS,MOUNT SOPHIA,Condominium,9,CCR,99 years,2013.0,Resale,570.49,1229976.44,01 to 05,Dec-24
SANCTUARY GREEN,TANJONG RHU ROAD,Condominium,15,RCR,99 years,1997.0,Resale,850.36,1420101.2,01 to 05,Dec-24
THE STELLAR,WEST COAST ROAD,Condominium,5,OCR,freehold,,Resale,1334.74,2410540.44,01 to 05,Dec-24
STILL MANSIONS,STILL ROAD,Apartment,15,OCR,freehold,,Resale,1140.98,1649857.08,01 to 05,Dec-24
THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,freehold,,Resale,635.08,1018033.24,01 to 05,Dec-24
PARC BOTANNIA,FERNVALE STREET,Condominium,28,OCR,99 years,2016.0,Resale,667.37,1087813.1,06 to 10,Dec-24
CASUARINA COVE,TANJONG RHU ROAD,Condominium,15,RCR,99 years,1993.0,Resale,1625.36,2680218.6399999997,01 to 05,Dec-24
SEASIDE RESIDENCES,SIGLAP LINK,Apartment,15,OCR,99 years,2016.0,Resale,559.73,1099869.45,01 to 05,Dec-24
THE HERMITAGE,SARKIES ROAD,Apartment,10,CCR,freehold,,Resale,2066.69,2399427.09,06 to 10,Dec-24
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,Apartment,19,OCR,99 years,2018.0,Resale,1410.08,2260358.24,01 to 05,Dec-24
PARC ESTA,SIMS AVENUE,Apartment,14,RCR,99 years,2018.0,Resale,635.08,1449887.64,06 to 10,Dec-24
VIEW AT KISMIS,LORONG KISMIS,Apartment,21,RCR,99 years,2019.0,Sub Sale,1270.15,2499655.2,01 to 05,Dec-24
RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 years,2013.0,Resale,1011.82,1287035.04,01 to 05,Dec-24
GRANDE VISTA,CACTUS DRIVE,Condominium,28,OCR,freehold,1886.0,Resale,1227.1,1749844.6,06 to 10,Dec-24
THE TENNERY,WOODLANDS ROAD,Apartment,23,OCR,99 years,2010.0,Resale,613.55,819702.7999999999,11 to 15,Dec-24
RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 years,2011.0,Resale,753.48,1098573.84,16 to 20,Dec-24
PARC ESTA,SIMS AVENUE,Apartment,14,RCR,99 years,2018.0,Resale,1227.1,2764656.3,01 to 05,Dec-24
ASTOR,LENGKONG EMPAT,Apartment,14,OCR,99 years,2002.0,Resale,861.12,1047983.04,01 to 05,Dec-24
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,Apartment,14,RCR,99 years,2015.0,Resale,645.84,1469931.84,16 to 20,Dec-24
ONE LEICESTER,LEICESTER ROAD,Condominium,13,RCR,freehold,,Resale,1377.79,2575089.51,01 to 05,Dec-24
THE MAKENA,MEYER ROAD,Condominium,15,RCR,freehold,,Resale,1582.31,2699420.86,01 to 05,Dec-24
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,Sub Sale,721.19,2400120.3200000003,21 to 25,Dec-24
SEVENTY SAINT PATRICK'S,ST. PATRICK'S ROAD,Condominium,15,OCR,freehold,,Resale,839.59,1959603.06,01 to 05,Dec-24
PENROSE,SIMS DRIVE,Apartment,14,RCR,99 years,2019.0,Sub Sale,699.66,1518961.86,11 to 15,Dec-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 years,1999.0,Resale,2691.0,4200651.0,01 to 05,Dec-24
ONE-NORTH EDEN,SLIM BARRACKS RISE,Apartment,5,RCR,99 years,2019.0,Sub Sale,688.9,1649915.5,06 to 10,Dec-24
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,Resale,592.02,1680152.76,11 to 15,Dec-24
PARC ESTA,SIMS AVENUE,Apartment,14,RCR,99 years,2018.0,Resale,914.94,2109851.64,01 to 05,Dec-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 years,2018.0,Resale,656.6,1279713.4,01 to 05,Dec-24
SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 years,1996.0,Resale,1140.98,1830131.92,11 to 15,Dec-24
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 years,2014.0,Resale,688.9,1049883.6,06 to 10,Dec-24
CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 years,2019.0,Sub Sale,958.0,2079818.0,06 to 10,Dec-24
MI CASA,CHOA CHU KANG AVENUE 3,Condominium,23,OCR,99 years,2008.0,Resale,1280.92,1749736.7200000002,01 to 05,Dec-24
THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 years,2008.0,Resale,1313.21,1850312.89,11 to 15,Dec-24
SAVANNAH CONDOPARK,SIMEI RISE,Condominium,18,OCR,99 years,2000.0,Resale,1453.14,1679829.84,06 to 10,Dec-24
DOVER PARKVIEW,DOVER RISE,Condominium,5,RCR,99 years,1993.0,Resale,936.47,1299820.36,06 to 10,Dec-24
8@WOODLEIGH,WOODLEIGH CLOSE,Condominium,13,RCR,99 years,2008.0,Resale,1097.93,2049835.31,11 to 15,Dec-24
PENROSE,SIMS DRIVE,Apartment,14,RCR,99 years,2019.0,Sub Sale,958.0,1919832.0,06 to 10,Dec-24
HERITAGE VIEW,DOVER RISE,Condominium,5,RCR,99 years,1996.0,Resale,1506.96,2501553.6,11 to 15,Dec-24
MARTIN MODERN,MARTIN PLACE,Condominium,9,CCR,99 years,2016.0,Resale,764.24,2070326.16,21 to 25,Dec-24
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,Apartment,2,RCR,less than 99 years,1979.0,Resale,850.36,988118.32,11 to 15,Dec-24
PINE GROVE,PINE GROVE,Condominium,21,RCR,99 years,1984.0,Resale,1754.53,1949282.83,11 to 15,Dec-24
THE ARDEN,PHOENIX ROAD,Apartment,23,OCR,99 years,2023.0,New Sale,1388.56,2517459.28,01 to 05,Dec-24
RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 years,2011.0,Resale,505.91,740146.3300000001,11 to 15,Dec-24
SOLEIL @ SINARAN,SINARAN DRIVE,Condominium,11,CCR,99 years,2006.0,Resale,1431.61,2529654.8699999996,11 to 15,Dec-24
KIM SIA COURT,JALAN JINTAN,Apartment,9,CCR,freehold,,Resale,1420.85,2939738.65,01 to 05,Dec-24
PINETREE HILL,PINE GROVE,Condominium,21,RCR,99 years,2022.0,New Sale,1291.68,3367409.76,11 to 15,Dec-24
KERRISDALE,STURDEE ROAD,Condominium,8,RCR,99 years,1998.0,Resale,990.29,1500289.35,11 to 15,Dec-24
PRESTIGE HEIGHTS,BALESTIER ROAD,Apartment,12,RCR,freehold,,Resale,581.26,920134.58,11 to 15,Dec-24
AMPAS APARTMENTS,JALAN AMPAS,Apartment,12,RCR,freehold,,Resale,1259.39,1742995.7600000002,01 to 05,Dec-24
THE TENNERY,WOODLANDS ROAD,Apartment,23,OCR,99 years,2010.0,Resale,613.55,790865.95,06 to 10,Dec-24
THE ARDEN,PHOENIX ROAD,Apartment,23,OCR,99 years,2023.0,New Sale,1011.82,1851630.6,01 to 05,Dec-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,914.94,2011038.12,21 to 25,Dec-24
THE LAKEGARDEN RESIDENCES,YUAN CHING ROAD,Apartment,22,OCR,99 years,2023.0,New Sale,1011.82,2191602.12,11 to 15,Dec-24
CLAYDENCE,STILL ROAD,Apartment,15,RCR,freehold,,New Sale,1205.57,2774016.57,01 to 05,Dec-24
