Year,BRN,KHM,IDN,LAO,MYS,MMR,PHL,SGP,THA,VNM
2000,0.30459344766288066,0.03889104600962101,0.17871300919279154,0.19029259423427347,0.18498557007467986,0.049280264240709304,-0.023007693305103882,0.11345518116371744,-0.002186801822071649,0.08676924360984128
2001,-0.0666963180639708,0.09030266474019855,-0.027717684415922816,0.02161568782106671,-0.010723875637846936,-0.27257242465110565,-0.056753505608593824,-0.06539316737300382,-0.04823090068991709,0.048526089116188276
2002,0.04326884048651758,0.07530821462491288,0.21947434355269957,-0.005904270313477511,0.08689059757313689,0.04628766788581973,0.06824666982200278,0.03056538965023292,0.11642116113586476,0.07278238403570492
2003,0.1221947290076224,0.08735199508709712,0.19989164933226355,0.15080836931122632,0.09277512246395503,0.544360801425523,0.03240224273729431,0.05519902790138609,0.13387837767403066,0.12800576734723768
2004,0.20050726209874004,0.1458888594707164,0.09398480227625106,0.16955942003817293,0.13200304894648007,0.009577054049369371,0.09148655436217212,0.17806697132550298,0.13537473486515061,0.14854533835909445
2005,0.2107691159033267,0.17895143396581425,0.11303667306501786,0.1560010599568935,0.1505823693977506,0.13434000180905836,0.130713041369388,0.1110454300467687,0.094981954469739,0.26867658901094305
2006,0.20343713080566794,0.15597367629797465,0.27530792076090793,0.2630070839988745,0.13347360207337644,0.2098596044996872,0.18835412399925522,0.16289277666499746,0.17135190525993305,0.15162095160344036
2007,0.0677577795247648,0.18758983467450574,0.1855495911633125,0.2223201142793183,0.18967128070218564,0.3916499041878052,0.22190626150580095,0.21742348294724367,0.18572047006195946,0.16637763638213854
2008,0.17519698281185891,0.1982441828475625,0.18049266919163287,0.289660472542999,0.19251872901059164,0.578723629544279,0.16441210411591234,0.07005007129356366,0.10816032372035012,0.28051462524931514
2009,-0.25434091348689236,0.004823995847159646,0.057525150471650965,0.07155218135728614,-0.12371540474498721,0.15829325115789805,-0.031108052305574674,0.002752857445369017,-0.033193425834726065,0.06945097126025512
2010,0.27716365329777015,0.08079556782240038,0.39941065272990106,0.22200191869028552,0.26086118156602733,0.3423446015876501,0.18408296633044463,0.23516868400721092,0.21083308780984766,0.3884921945007782
2011,0.35148097759839625,0.1411872430035801,0.1825931605866289,0.22691889554448919,0.16835674344556062,0.21066494552587556,0.12404916278333156,0.16491526554576996,0.08711100687471607,0.17251241499718062
2012,0.02824891683021402,0.09547512717235995,0.02788562648871351,0.16488279685216467,0.05534784126302217,-0.0006590730294198099,0.11828347216470192,0.05633313764515524,0.07210795563334127,0.1332367681566673
2013,-0.050089222878718975,0.08350015466386451,-0.005824354211380722,0.1756532207445849,0.028090941760509747,0.005538011497976392,0.08392606931097535,0.04230191837827402,0.05728975394785163,0.09263207407293783
2014,-0.05507356866387014,0.09683610981578172,-0.02379005922036026,0.10815037447178066,0.045750380479837593,0.08730155412599427,0.04783676114729318,0.023694956693630198,-0.03091589069644618,0.09237795319804043
2015,-0.24374542888376483,0.08066663707520516,-0.03363324596016004,0.08638549582167143,-0.1085912218324232,-0.09040072582515746,0.030125989969208344,-0.02180306418009048,-0.014835309165093458,0.024874598952242755
2016,-0.11831327494973798,0.10896390857890448,0.08250295636658489,0.10301417153992998,-0.0003285162018217269,0.061923156760445686,0.03974925435476395,0.03589297367848587,0.030077548742075688,0.07455550075650552
2017,0.06383226135455478,0.10793225479615276,0.08986486413979522,0.07281405389105333,0.05926189021961381,0.04351895373175818,0.03092644377281273,0.07585863208108967,0.10400226433717341,0.09435386003671775
2018,0.11862895396280093,0.1079736365055779,0.026240129182174332,0.06270727310705104,0.12434622652447902,0.027364001623289225,0.05589668808850434,0.0979907183247537,0.11043327920904034,0.10219154517085238
2019,-0.007201500541071937,0.10246059327820345,0.07371410479050544,0.03301357468317101,0.017807123406793357,0.10616763124910045,0.08643993518662674,2.387945650350609e-05,0.073453786255264,0.07822808974995654
2020,-0.10865024415586044,-0.04491028183056023,-0.05365919042087397,0.012872812633316855,-0.07591366402138133,0.05250119014059251,-0.03999755853543974,-0.07273508763551273,-0.07999419093086657,0.03663960043664849
